State,County,RefinedType,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, inf]"
AL,Pike,Accident,0,0,2,0,0,0,0,0,0,0,0,0
AL,Pike,Congestion,0,0,650,34,2,1,0,0,0,0,0,0
AL,Pike,Construction,0,0,0,0,0,0,0,0,0,0,1,5
AL,Pike,Event,0,0,0,0,0,0,8,0,0,0,0,0
AL,Pike,Incident,0,0,12,3,0,0,0,0,0,0,0,0
AL,Pike,Lane,0,0,1,0,0,0,0,0,0,0,0,0
AL,Pike,ALL,0,0,665,37,2,1,8,0,0,0,1,5
AL,Randolph,Congestion,0,0,738,73,5,0,0,0,0,0,0,0
AL,Randolph,Construction,0,0,0,0,0,0,0,0,0,0,0,1
AL,Randolph,Incident,0,0,4,2,0,0,0,0,0,0,0,0
AL,Randolph,ALL,0,0,742,75,5,0,0,0,0,0,0,1
AL,Russell,Accident,0,2,2,0,0,0,0,0,0,0,0,0
AL,Russell,Congestion,156,130,801,75,1,0,0,0,0,0,0,0
AL,Russell,Construction,0,0,0,0,0,0,0,0,0,3,2,1
AL,Russell,Incident,18,25,36,32,0,0,0,0,0,0,0,0
AL,Russell,Lane,0,0,0,1,0,0,0,0,0,0,0,0
AL,Russell,ALL,174,157,839,108,1,0,0,0,0,3,2,1
AL,Saint Clair,Accident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Saint Clair,Congestion,0,0,141,9,0,0,0,0,0,0,0,0
AL,Saint Clair,Incident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Saint Clair,ALL,0,0,143,9,0,0,0,0,0,0,0,0
AL,Shelby,Accident,0,210,196,26,1,0,0,0,0,0,0,0
AL,Shelby,Broken,0,14,20,4,0,0,0,0,0,0,0,0
AL,Shelby,Congestion,0,0,9658,1177,96,1,0,0,0,0,0,0
AL,Shelby,Construction,0,3,0,6,0,3,0,0,0,1,0,6
AL,Shelby,Event,0,0,0,0,0,0,1,0,0,0,0,0
AL,Shelby,Incident,0,31,139,45,7,1,0,0,0,0,0,0
AL,Shelby,Lane,0,19,8,6,1,0,0,0,0,0,0,0
AL,Shelby,Other,0,3,0,0,0,0,0,0,0,0,0,0
AL,Shelby,ALL,0,280,10021,1264,105,5,1,0,0,1,0,6
AL,St. Clair,Accident,0,35,24,0,0,0,0,0,0,0,0,0
