State,County,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, 32768.0]","(32768.0, 65536.0]","(65536.0, 131072.0]","(131072.0, 262144.0]","(262144.0, 524288.0]","(524288.0, inf]"
AZ,Graham,0,16,451,17,2,0,0,1,0,1,0,0,0,0,0,0,0
AZ,Greenlee,0,12,299,10,5,0,0,0,0,0,0,0,0,0,0,0,0
AZ,La Paz,0,109,675,54,9,0,0,0,0,0,0,0,1,0,5,0,1
AZ,Maricopa,2,10829,93227,9839,1467,1051,701,53,33,64,185,89,70,51,19,24,11
AZ,Mohave,0,136,832,88,22,13,2,1,0,1,0,0,0,0,4,0,0
AZ,Navajo,0,123,699,38,7,2,0,1,1,0,1,0,0,0,1,0,0
AZ,Pima,0,3666,6527,684,72,15,70,0,4,0,5,0,2,1,2,3,1
AZ,Pinal,0,485,4275,307,29,7,4,0,0,0,0,0,2,0,0,0,0
AZ,Yavapai,0,394,2960,215,35,3,1,0,0,0,0,0,0,0,0,1,0
AZ,Yuma,0,130,444,15,0,0,0,0,0,0,0,0,1,0,2,2,0
CA,ALL,334208,473899,1428893,209564,58488,14378,6494,511,287,874,530,188,151,123,134,73,26
CA,Alameda,19354,35442,75794,13507,5074,1158,474,59,3,4,2,2,11,19,24,7,0
CA,Alpine,0,7,67,2,4,2,0,0,0,0,0,0,1,0,0,0,0
CA,Amador,29,400,411,44,14,0,0,0,0,0,0,1,5,0,0,0,0
CA,Butte,84,804,753,53,25,14,3,5,4,5,0,0,0,0,0,0,0
CA,Calaveras,48,533,387,58,7,2,0,0,0,0,0,0,0,0,0,0,0
CA,Colusa,105,341,670,23,6,4,5,2,0,0,0,0,0,1,0,0,0
CA,Contra Costa,7305,16701,29819,3476,755,124,76,4,5,0,0,3,3,4,1,1,0
CA,Del Norte,0,49,2707,3,0,0,2,0,0,0,0,0,0,0,3,2,0
CA,El Dorado,693,2021,8369,591,86,13,11,1,1,1,0,1,0,0,0,0,0
CA,Fresno,105,2892,4391,345,39,15,101,0,0,1,14,6,2,4,2,3,1
CA,Glenn,12,211,262,21,6,1,1,0,2,0,0,0,0,0,0,0,0
CA,Humboldt,0,570,7865,45,4,5,6,1,0,4,0,1,4,3,2,0,0
CA,Imperial,0,17,64,0,0,0,2,2,0,0,0,0,0,0,0,0,0
CA,Inyo,0,57,1222,43,2,3,0,3,0,0,0,0,0,0,0,0,0
CA,Kern,0,2535,7131,674,100,19,46,2,0,1,6,0,6,1,4,0,0
CA,Kings,0,358,964,60,3,3,0,0,0,0,0,0,0,0,0,0,0
CA,Lake,157,644,852,26,11,19,3,12,0,6,0,1,1,0,0,0,0
CA,Lassen,0,66,1306,41,0,0,0,0,0,0,0,0,0,0,1,1,0
CA,Los Angeles,140438,158342,580005,95906,29935,8452,1608,133,148,697,404,15,29,24,14,8,10
CA,Madera,0,644,1294,109,13,2,1,2,0,0,0,0,0,1,1,5,0
CA,Marin,2249,4710,7836,1205,208,49,44,1,1,7,2,3,7,4,4,5,1
CA,Mariposa,0,100,766,64,14,5,1,7,0,1,34,0,0,0,0,0,0
CA,Mendocino,1859,1336,6395,77,6,11,4,5,0,7,1,1,1,1,1,1,2
CA,Merced,323,1830,2157,207,39,8,0,0,0,0,0,0,9,1,0,0,0
CA,Modoc,0,4,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CA,Mono,0,129,3467,70,6,4,2,1,0,0,0,0,0,0,0,0,0
CA,Monterey,3952,4615,16430,1968,293,73,76,4,1,1,0,3,1,4,18,1,0
CA,Napa,1869,2907,11044,2665,1028,199,17,3,3,2,0,0,0,1,1,0,0
CA,Nevada,982,1545,11867,682,42,8,10,1,1,2,0,1,0,0,0,0,0
CA,Orange,30202,32229,130338,20964,6940,813,420,36,1,2,1,3,2,0,0,0,1
CA,Placer,4959,5122,14874,1157,104,30,157,0,0,0,0,1,0,1,0,2,0
CA,Plumas,0,90,320,4,0,1,0,0,0,0,0,0,1,0,0,0,0
CA,Riverside,13886,20428,70323,8156,1889,855,260,2,10,8,1,2,2,1,1,0,0
CA,Sacramento,10483,24073,43018,7963,1305,148,198,3,8,6,5,70,5,4,6,6,1
CA,San Benito,580,850,3844,769,160,19,17,0,0,0,0,0,0,0,0,0,0
CA,San Bernardino,15237,20039,64797,6850,1362,247,281,3,7,2,4,1,3,0,5,1,0
CA,San Diego,19774,33473,81491,12955,3533,524,582,38,5,2,4,2,2,9,4,2,1
CA,San Francisco,12745,10553,32541,4873,1358,607,394,61,40,23,13,15,4,3,7,0,4
CA,San Joaquin,2419,8189,12999,1723,219,55,229,0,8,1,0,1,0,1,1,0,0
CA,San Luis Obispo,0,1174,4265,289,48,26,45,0,3,23,4,3,2,14,0,1,0
CA,San Mateo,8451,12560,31044,3751,602,143,51,10,7,6,1,3,3,3,13,11,0
CA,Santa Barbara,3211,3500,11532,946,124,45,48,11,0,0,5,21,6,1,2,1,0
CA,Santa Clara,15892,26520,56914,6841,1251,272,615,6,3,27,5,5,17,7,5,6,1
CA,Santa Cruz,2265,3624,10245,1295,303,86,31,3,0,2,12,6,6,6,3,3,2
CA,Shasta,0,478,1392,47,4,12,1,5,15,17,0,0,0,0,0,0,1
CA,Sierra,0,35,441,10,2,2,1,0,0,0,0,0,0,0,0,0,0
CA,Siskiyou,0,80,1392,110,25,11,0,0,0,0,0,1,0,0,2,0,0
CA,Solano,3357,7141,16572,2265,441,83,35,4,1,1,5,0,5,0,3,2,0
CA,Sonoma,4289,7845,22361,2989,624,107,235,68,3,4,6,8,11,1,3,3,1
CA,Stanislaus,1108,3679,5574,508,48,8,118,0,1,2,0,0,0,2,0,0,0
CA,Sutter,259,391,816,60,6,10,0,0,0,0,0,0,0,0,0,0,0
CA,Tehama,0,274,594,16,3,0,0,0,0,0,0,1,0,1,0,0,0
CA,Trinity,0,83,245,3,1,0,1,2,0,0,0,0,0,0,1,0,0
CA,Tulare,0,1223,1197,95,22,5,74,1,0,0,0,0,0,0,1,0,0
CA,Tuolumne,3,308,664,66,9,4,2,1,0,0,1,0,0,0,0,0,0
CA,Ventura,4069,6749,17601,1570,207,38,49,8,5,2,0,6,1,0,0,1,0
CA,Yolo,1193,2698,5240,688,111,26,157,1,1,2,0,0,1,0,1,0,0
CA,Yuba,262,681,1920,635,67,7,0,0,0,5,0,1,0,1,0,0,0
CO,ALL,6,12945,164225,13760,3227,3866,4564,271,495,718,536,781,925,598,324,156,212
